Episode,Score,MaxScore,AvgScore100,Epsilon,Steps,TotalReward
366,6,23,5.4400,0.159679,118,-40.0
367,8,23,5.4600,0.158881,128,-20.0
368,7,23,5.5200,0.158086,113,-30.0
369,4,23,5.4900,0.157296,48,-60.0
370,7,23,5.5300,0.156509,79,-30.0
371,5,23,5.5800,0.155727,62,-50.0
372,8,23,5.6000,0.154948,157,-20.0
373,3,23,5.6200,0.154173,41,-70.0
374,5,23,5.6300,0.153402,93,-50.0
375,8,23,5.6600,0.152635,186,-20.0
376,2,23,5.6100,0.151872,23,-80.0
377,2,23,5.6200,0.151113,33,-80.0
378,6,23,5.6500,0.150357,73,-40.0
379,2,23,5.6300,0.149606,24,-80.0
380,0,23,5.6100,0.148857,33,-100.0
381,8,23,5.6300,0.148113,114,-20.0
382,2,23,5.6300,0.147373,26,-80.0
383,6,23,5.6600,0.146636,110,-40.0
384,9,23,5.7100,0.145903,149,-10.0
385,12,23,5.8100,0.145173,194,20.0
386,1,23,5.8200,0.144447,33,-90.0
387,6,23,5.7800,0.143725,124,-40.0
388,1,23,5.7300,0.143006,27,-90.0
389,11,23,5.7800,0.142291,164,10.0
390,7,23,5.8100,0.141580,102,-30.0
391,15,23,5.9100,0.140872,203,50.0
392,9,23,5.9700,0.140168,177,-10.0
393,13,23,6.0800,0.139467,175,30.0
394,5,23,6.0500,0.138769,56,-50.0
395,3,23,6.0100,0.138076,47,-70.0
396,1,23,5.9800,0.137385,12,-90.0
397,13,23,6.0900,0.136698,188,30.0
398,6,23,6.1300,0.136015,62,-40.0
399,4,23,6.1300,0.135335,104,-60.0
400,6,23,6.1500,0.134658,84,-40.0
401,6,23,6.2000,0.133985,60,-40.0
402,17,23,6.3500,0.133315,264,70.0
403,2,23,6.3200,0.132648,20,-80.0
404,0,23,6.2900,0.131985,14,-100.0
405,6,23,6.3000,0.131325,104,-40.0
406,4,23,6.3000,0.130668,61,-60.0
407,14,23,6.3600,0.130015,210,40.0
408,8,23,6.4000,0.129365,56,-20.0
409,7,23,6.3800,0.128718,141,-30.0
410,8,23,6.3600,0.128075,129,-20.0
411,18,23,6.4100,0.127434,290,80.0
412,2,23,6.4300,0.126797,57,-80.0
413,11,23,6.4600,0.126163,132,10.0
414,3,23,6.4800,0.125532,23,-70.0
415,10,23,6.5000,0.124905,101,0.0
416,16,23,6.5900,0.124280,231,60.0
417,7,23,6.6100,0.123659,107,-30.0
418,11,23,6.6900,0.123040,144,10.0
419,15,23,6.7700,0.122425,159,50.0
420,11,23,6.8800,0.121813,144,10.0
421,5,23,6.9300,0.121204,98,-50.0
422,12,23,6.9700,0.120598,162,20.0
423,18,23,7.1200,0.119995,311,80.0
424,9,23,7.0700,0.119395,105,-10.0
425,4,23,7.0300,0.118798,23,-60.0
426,4,23,6.9800,0.118204,41,-60.0
427,6,23,6.8800,0.117613,49,-40.0
428,3,23,6.8300,0.117025,40,-70.0
429,2,23,6.8200,0.116440,25,-80.0
430,4,23,6.8300,0.115858,64,-60.0
431,25,25,7.0700,0.115278,385,150.0
432,4,25,7.0600,0.114702,57,-60.0
433,14,25,7.1600,0.114128,221,40.0
434,9,25,7.2500,0.113558,153,-10.0
435,37,37,7.5800,0.112990,496,270.0
436,3,37,7.4700,0.112425,26,-70.0
437,5,37,7.4900,0.111863,79,-50.0
438,17,37,7.4300,0.111304,217,70.0
439,8,37,7.3900,0.110747,99,-20.0
440,5,37,7.4000,0.110193,70,-50.0
441,11,37,7.4400,0.109642,123,10.0
